,사업장명,인허가일자,폐업일자,좌표정보(X),좌표정보(Y)
0,마리오아울렛 1관,20130906,20300101,189943.234285288,441784.247518723
1,마리오아울렛 3관,20120913,20300101,189759.713050655,441814.115920983
2,롯데슈퍼 목동2점,20120405,20300101,188700.851169641,448020.090999138
3,영등포유통상가,19990531,20300101,190555.768991595,446698.814322782
4,롯데슈퍼 방배2점,20120424,20300101,198984.364832071,443229.835878514
5,GS THE FRESH 동대문장안점,20230314,20300101,206341.538776724,452530.018811546
6,갤러리아백화점(동관),19850708,20300101,203604.761651873,447316.222786487
7,롯데프레시앤델리 봉화산역점,20211125,20300101,208112.860200669,457113.638411288
8,롯데슈퍼 홍제2점,20120207,20300101,195281.395461663,453657.534811024
9,씨에스유통 (롯데슈퍼화곡2점),20110714,20300101,187464.403178638,447877.710664426
10,롯데슈퍼 유진점,20110701,20300101,194850.361025035,454344.432517428
11,유진상가,19700814,20300101,194811.756333333,454300.739666667
12,갤러리아백화점(서관),19850318,20300101,203470.848439305,447369.579851952
13,GS THE FRESH 동대문장안점,20230314,20300101,206341.538776724,452530.018811546
14,(주)이마트에브리데이 암사동점,20111128,20230324,,
15,동화상가,19680730,20300101,200543.754911579,451888.040346722
16,GS THE FRESH 중랑망우점,20230404,20300101,209579.542671166,455549.589368255
17,이마트에브리데이 길음점,20230418,20300101,201912.435615622,455775.861032353
18,이마트에브리데이 길음점,20230418,20300101,201912.435615622,455775.861032353
19,롯데쇼핑(주)롯데슈퍼명동점,20111006,20230420,198364.631775078,450975.950410804
20,이마트에브리데이 성내점,20191030,20230414,210694.989265395,447815.986328694
21,이마트에브리데이 명지대점,20220405,20300101,193139.52394401,453106.002592232
22,신세계백화점 강남점,20150922,20300101,200250.447804795,444683.220506107
23,GS THE FRESH 송파시그니처점,20230201,20300101,213149.522764117,443705.473072412
24,GS THE FRESH 송파하비오점,20230227,20300101,210868.397496689,442053.227933005
25,홈플러스 익스프레스 신정4점,20010301,20210928,188554.940218695,446701.745114511
26,롯데쇼핑㈜롯데슈퍼길동점,20111007,20300101,211983.181564983,448483.889140704
27,상계역전종합상가,19981231,20300101,206280.789903642,462002.498987713
28,이랜드리테일 NC구로점,20200626,20300101,189570.360930049,444336.051330144
29,롯데백화점 영등포점,19910501,20300101,191741.345847708,445970.307641467
30,롯데쇼핑(주) 롯데마트 삼양점,20110909,20300101,201494.627293774,458136.342274236
31,나진전자월드상가,20220629,20300101,196697.031086973,447931.108267379
32,지에스 더 프레시(GS THE FRESH) 관악청림점,20220325,20300101,196384.544308046,442822.980265735
33,롯데프레시 홍은점,20211220,20300101,193440.549915639,453256.425998955
34,나진산업 주식회사,19871110,20300101,196697.031086973,447931.108267379
35,GS THE FRESH 무악현대점,20220628,20300101,196467.975088253,452566.134030104
36,뚝도시장,19620125,20300101,204775.366000022,448395.587760252
37,청량리역 한양수자인 그라시엘 판매시설,20220711,20300101,203728.132135578,452778.89330743
38,경동시장,19600629,20300101,203403.019535366,452985.725419514
39,노량진 드림스퀘어,20220722,20300101,194571.152376388,445790.549860682
40,GS THE FRESH 용산이촌점,20220808,20300101,197221.439324261,446524.508385914
41,이마트에브리데이 남가좌점,20220816,20300101,192482.416512858,452143.491541077
42,GS THE FRESH 광진구의점,20220713,20300101,207400.608063491,448930.683211743
43,GS THE FRESH 압구정점,20220915,20300101,203069.441212025,447391.130408384
44,포레나당산동역세권청년주택 상업시설,20221214,20300101,190673.408906647,446684.650100157
45,롯데쇼핑(주) 롯데슈퍼공릉점,20110621,20300101,206952.444113646,457814.529614419
46,롯데백화점 노원점,20050826,20300101,205320.28476675,461419.881795004
47,누죤,19960705,20300101,201092.281213446,451637.932708365
48,GS THE FRESH 성북클라시아점,20220418,20300101,202328.542538257,456302.296413002
49,홈플러스(주)익스프레스 구의점,20111005,20200719,207400.608063491,448930.683211743
50,(주)이마트에브리데이 중곡동점,20110922,20300101,207114.498872176,451296.049443757
51,롯데쇼핑(주)롯데슈퍼 중곡점,20110922,20200430,207235.581247334,451072.124043842
52,역촌중앙시장,20220404,20220405,192534.656897366,456773.714884876
53,롯데 FRESH 아차산점,20120321,20300101,208075.543534642,449971.642025946
54,이천일아울렛 중계점,20090921,20300101,205931.05327036,459884.197207567
55,(주)이마트에브리데이 가양역점,20230127,20300101,186966.036176588,451047.287263879
56,롯데쇼핑(주)롯데슈퍼 구의점,20120321,20180319,208087.647208835,448484.131343078
57,홈플러스 익스프레스 오목교점,20221004,20300101,188565.074701959,446750.881633578
58,노브랜드 경동시장점,20180125,20300101,203403.019535366,452985.725419514
59,(주)지에스리테일 서초방배점,20161201,20220325,198970.448010517,443479.894856733
60,베라체캠퍼스 에비뉴,20131127,20300101,204881.313219146,454280.040555974
61,롯데쇼핑(주)롯데슈퍼 신월점,20120523,20300101,185164.559946017,448756.033565786
62,GS수퍼 성동옥수점,20120402,20220405,201462.251313062,448744.038108098
63,롯데슈퍼 홍제점,20211220,20221011,195196.693652181,453764.706268517
64,엔씨백화점 불광점,20070411,20300101,193661.732383169,456379.193899276
65,롯데슈퍼 쌍문점,20120315,20300101,203048.669322526,461867.647869631
66,롯데슈퍼 남가좌점,20211216,20300101,192480.02944094,452634.55767379
67,롯데슈퍼 창동점,20120318,20300101,203207.625254256,460455.837628654
68,롯데슈퍼 방학점,20120315,20300101,202326.175760253,462116.40856417
69,(주)지에스리테일 GS수퍼 목동오거리점,20110915,20220413,187670.416423662,447030.560396528
70,정릉시장상인회,20100315,20300101,200729.859590291,456347.644834894
71,토우마트마축일시장,20051111,20140410,203576.594691866,452041.559037331
72,(주)이마트 성수점,20050331,20300101,204614.272744322,448607.441251647
73,이마트에브리데이 강남시장점,20220412,20300101,201757.494098748,446282.45446652
74,GS THE FRESH 신길사러가점,20211228,20300101,192108.925858666,444944.153786024
75,이랜드리테일 당산점,20010620,20300101,191177.584475692,447965.645513185
76,(주)광희패션몰,19790525,20300101,200982.709076616,451817.384038629
77,롯데슈퍼 창천점,20211220,20300101,193624.014939084,450696.745009002
78,삼익패션타운,19851128,20300101,198091.202136386,450913.340731519
79,중부시장,19590224,20300101,200091.167605242,451433.579647276
80,디자이너크럽,19940831,20300101,201075.606676645,451683.017810123
81,선싸인,19950401,20300101,198737.553769773,451081.894647871
82,월곡시장,19690219,20080222,,
83,정릉시장,19700227,20070330,200741.814526594,456247.253686235
84,혜양엘리시움,19970224,20300101,201047.899695285,451814.35044652
85,남정종합상가,20020722,20300101,197843.820719318,450717.353642797
86,장위시장,19720704,20180712,204411.779055457,456753.488817165
87,삼선시장,19740510,20070213,200571.15381745,454098.610861527
88,코코마트,20031224,20080729,204367.347787613,456732.945005445
89,낙원상가,20190917,20300101,198838.912965902,452214.210961577
90,낙원상가,20190917,20300101,198838.912965902,452214.210961577
91,광장시장,19550705,20300101,199837.41426735,451974.128468485
92,방산종합시장,19761129,20300101,200002.952736046,451823.532462914
93,홈플러스(주)익스프레스 숭인점,20110816,20300101,201359.53353905,452395.659064842
94,동대문종합시장D동상가,20041210,20300101,200579.409754868,452035.347658612
95,에이피엠플레이스,20160307,20300101,200673.011457453,451443.279894262
96,대림시장,20071221,20300101,192661.661318718,453828.585982771
97,양지시장,19721113,20300101,,
98,(주)영풍문고,19920704,20300101,198351.818737482,451921.60302604
99,맥스타일,20101008,20300101,200863.594130764,451837.481623546
100,DDP FASHION MALL,20170323,20300101,200999.356221857,451654.418167327
101,종로세운상가,20050127,20300101,,
102,효성주얼리시티,20070704,20300101,199812.609633255,452132.648343993
103,홈플러스익스프레스 신당점,20161007,20300101,201308.536482314,451174.365486466
104,브라운스톤 창신상가,20070907,20300101,201258.062657124,452787.132831042
105,동대문종합시장,19910731,20300101,200717.7490316,452011.865092338
106,동대문종합시장 신관,20031020,20300101,200647.01325068,452054.764927519
107,동문시장,19871030,20300101,200908.398396105,452025.346454838
108,세운스퀘어,20100218,20300101,199670.979884558,452221.775006084
109,홈플러스(주)익스프레스 광화문점,20111220,20300101,197700.034013631,452022.503467072
110,광장주식회사,20030304,20300101,199837.41426735,451974.128468485
111,지에스수퍼마켓 중구만리점,20171031,20300101,,
112,센터포인트 명동,20210716,20300101,198401.701305913,451374.312212737
113,서울중앙시장,19621102,20300101,201680.067548359,451610.962163829
114,길음시장,20190529,20300101,,
115,종로1번지아케이트,20040430,20300101,197993.904628438,452032.958591394
116,영풍문고,20040430,20300101,198351.818737482,451921.60302604
117,동대문신발도매상가,20040630,20300101,,
118,신설종합시장,19710325,20300101,201727.670840565,452264.420237876
119,신설종합시장(주),19871030,20300101,201727.670840565,452264.420237876
120,종로세운상가,20050218,20300101,,
121,종로세운상가,19710906,20300101,,
122,숭인제일아케이트,19871207,20300101,,
123,광장시장주식회사,19871030,20300101,,
124,화양시장,19740701,20060123,,
125,크레타 망고 아울렛,20080305,20141126,201273.887781838,452163.292543039
126,중학아케이드,20111007,20140901,,
127,서울남대문시장,19641013,20300101,197951.150595295,450771.087810153
128,팀204,19960704,20300101,201096.681322159,451715.830447841
129,통일상가,19700129,20300101,200541.637728834,451814.45954577
130,진양상가,19711230,20300101,199571.599470393,451124.851387624
131,상제리제상가,19770623,20300101,198744.433228989,451677.065126229
132,(주)에리어식스,19801016,20300101,200989.686611204,451762.261508835
133,우일타운,20090908,20300101,201390.623455546,451682.924382048
134,대림상가,19720918,20300101,199534.329650967,451608.222852119
135,진관시장,19681014,20300101,,
136,아트프라자,19900604,20300101,201070.979414952,451874.637536958
137,남산타운5상가,20000707,20300101,200984.713668049,449703.239755874
138,올레오,20061023,20300101,201040.352596045,451852.142613352
139,남산타운2상가,20000707,20300101,200984.713668049,449703.239755874
140,현대시티타워,19960831,20300101,,
141,하이해리엇,20060317,20300101,198636.2503948,451005.721641592
142,통일상가,19700129,20300101,200613.510297669,451817.515366883
143,제일평화시장,19811027,20300101,200938.52813687,451798.00308625
144,롯데아울렛 서울역점,20121227,20300101,197230.206089772,450446.684395506
145,롯데아울렛 서울역점,19990901,20300101,197364.626754215,450397.369597089
146,(주)지에스리테일 남산타운점,20140110,20300101,200984.713668049,449703.239755874
147,밀리오레,19980811,20300101,200664.582936542,451781.8683954
148,굳앤굳 디자이너월드,19761102,20300101,198079.694295498,450952.174489406
149,숭례문상가,19801220,20300101,197831.002724157,450794.31483169
150,메트로,20020409,20300101,192998.202204135,457479.99522553
151,호텔롯데아케이드,19781222,20300101,198259.65357739,451392.198218657
152,에이피엠패션몰,20020612,20300101,201031.479363871,451759.262402974
153,청계상가,20191017,20300101,199521.200809167,451751.424132583
154,헬로우에이피엠,20020722,20300101,200649.776732085,451689.785216541
155,롯데패션몰,20120831,20300101,200548.038848161,451497.626572161
156,청평화시장,19830603,20300101,201250.876993355,451908.773811626
157,디오트,20060414,20300101,201236.031514508,451872.409388295
158,주식회사 이마트 청계천점,20080626,20300101,201823.908977364,452076.818664092
159,베네치아메가몰,20080718,20300101,201823.908977364,452076.818664092
160,엠플라자(M plaza),20080827,20300101,198619.38819773,451135.740279961
161,굿모닝시티 쇼핑몰,20080916,20300101,200573.641273539,451621.036467544
162,평화시장,19620223,20300101,200644.673810142,451908.700024524
163,눈스퀘어,20020115,20300101,198418.741655644,451237.168596152
164,라모도 쇼핑몰,20060607,20300101,200673.011457453,451443.279894262
165,에쉐르아이시네마쇼핑몰,20050929,20300101,,
166,합동시장,19710518,20150827,197037.368787577,450812.939747734
167,(주)심풍유통,19851109,20150827,200247.445072989,451352.512042888
168,케레스타,19960831,20150827,198421.647678142,451369.545909652
169,대한통운마트,19970822,20150827,,
