사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스남이섬점,영업,202107,202301,246197.235726945,478362.818093214
(주)스타벅스커피코리아일산라페스타점,폐업,200308,201306,179538.773119107,462032.199845677
스타벅스 고양대로DT점,영업,202206,202301,181927.758552852,463930.090165393
스타벅스 고양덕은점,영업,202303,202301,,
스타벅스 고양원흥DT점,영업,202108,202301,188391.022887693,459392.615117551
스타벅스 고양행신점,영업,202009,202301,185303.557414536,457949.601508534
스타벅스 고양향동점,영업,202103,202301,190416.531776901,455196.50737951
스타벅스 동국대일산병원점,영업,201811,202301,182859.165827012,463795.707030926
스타벅스 마두역점,영업,201203,202301,180226.735,461197.565
스타벅스 백석역DT,영업,201309,202301,181168.007864988,460199.776652369
스타벅스 스타필드고양1F R,영업,201708,202301,190645.314309928,460528.947974088
스타벅스 스타필드고양1F고메스트리트,폐업,201708,202208,190715.654303376,560834.907896845
스타벅스 스타필드고양3F,영업,201708,202301,190645.314309928,460528.947974088
스타벅스 스타필드고양3F잇토피아,폐업,201708,202208,190715.654303376,560834.907896845
스타벅스 일산가구단지점,영업,201711,202301,178477.553993663,466391.487745459
스타벅스 일산가로수길R점,영업,201806,202301,178443.772452423,462653.992741763
스타벅스 일산덕이DT점,영업,201704,202301,178486.612473938,465511.162889899
스타벅스 일산탄현동점,영업,202007,202301,179163.461148359,465891.700143354
스타벅스 일산탄현제니스,영업,201401,202301,179005.665068939,465786.029740427
스타벅스 일산풍동DT점,영업,201712,202301,182357.27852801,462219.406430743
스타벅스 일산하늘마을점,영업,202204,202301,180713.721983108,463928.821633406
스타벅스 주엽강선점,영업,202006,202301,179290.502288104,462727.239411742
스타벅스 주엽사거리점,폐업,200705,202005,178668.321119565,463267.005753621
스타벅스 지축역점,영업,202212,202301,,
스타벅스 현대킨텍스점,영업,202006,202301,178006.080301401,462865.812502378
스타벅스 화정역점,영업,201208,202301,185166.687145694,459037.825613683
스타벅스 화정호국로점,영업,202106,202301,184893.335318175,459935.558799077
스타벅스(킨텍스전시장),폐업,201612,201612,177158.311187542,462546.660972252
스타벅스대화역점,영업,201311,202301,177718.498228631,463699.196399122
스타벅스라페스타광장점,영업,201306,202301,179657.69081714,461951.32697538
스타벅스문촌사거리점,영업,202109,202301,178529.136791301,463365.623578833
스타벅스삼송역점,영업,202005,202301,190815.458049782,461119.342314115
스타벅스소노캄고양점,영업,201912,202301,177899.003115642,462275.537979953
스타벅스원흥역점,영업,201910,202301,189022.994577755,460747.027677344
스타벅스웨스턴돔B,영업,201104,202301,179867.687196662,461402.023019802
스타벅스일산동구청점,폐업,201207,202008,179913.323308018,461616.743761126
