서울/경기,시/군/구,동,리,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
경기도,가평군,가평읍,달전리,113-4,스타벅스남이섬점,영업,202107,203001,246197.235726945,478362.818093214,37.8065772105,127.5253444048
경기도,고양일산동구,장항동,,768,(주)스타벅스커피코리아일산라페스타점,폐업,200308,201306,179538.773119107,462032.199845677,37.6603512,126.768854
경기도,고양일산동구,풍동,,699,스타벅스 고양대로DT점,영업,202206,203001,181927.758552852,463930.090165393,37.6776714103,126.7961165158
경기도,고양덕양구,덕은동,,0,스타벅스 고양덕은점,영업,202303,203001,944620.1734150376,1953219.7447304009,37.5794418421,126.8706567665
경기도,고양덕양구,원흥동,,332-1,스타벅스 고양원흥DT점,영업,202108,203001,188391.022887693,459392.615117551,37.6368047034,126.8693118505
경기도,고양덕양구,행신동,,999,스타벅스 고양행신점,영업,202009,203001,185303.557414536,457949.601508534,37.6237774761,126.8343152933
경기도,고양덕양구,향동동,,529,스타벅스 고양향동점,영업,202103,203001,190416.531776901,455196.50737951,37.5989345801,126.8924015047
경기도,고양일산동구,식사동,,814,스타벅스 동국대일산병원점,영업,201811,203001,182859.165827012,463795.707030926,37.6764385211,126.805563051
경기도,고양일산동구,장항동,,890-5,스타벅스 마두역점,영업,201203,203001,180226.735,461197.565,37.6529298076,126.7767041081
경기도,고양일산동구,백석동,,1296-3,스타벅스 백석역DT,영업,201309,203001,181168.007864988,460199.776652369,37.6439816482,126.7874005009
경기도,고양덕양구,동산동,,370,스타벅스 스타필드고양1F R,영업,201708,203001,190645.314309928,460528.947974088,37.6470962619,126.8948092677
경기도,고양덕양구,동산동,,370,스타벅스 스타필드고양1F고메스트리트,폐업,201708,202208,190715.654303376,560834.907896845,37.6470962619,126.8948092677
경기도,고양덕양구,동산동,,370,스타벅스 스타필드고양3F,영업,201708,203001,190645.314309928,460528.947974088,37.6470962619,126.8948092677
경기도,고양덕양구,동산동,,370,스타벅스 스타필드고양3F잇토피아,폐업,201708,202208,190715.654303376,560834.907896845,37.6470962619,126.8948092677
경기도,고양일산서구,덕이동,,373-9,스타벅스 일산가구단지점,영업,201711,203001,178477.553993663,466391.487745459,37.6995569792,126.7567064435
경기도,고양일산서구,대화동,,1050-185,스타벅스 일산가로수길R점,영업,201806,203001,178443.772452423,462653.992741763,37.666016994,126.7564061079
경기도,고양일산서구,덕이동,,469,스타벅스 일산덕이DT점,영업,201704,203001,178486.612473938,465511.162889899,37.6919155038,126.7569755481
경기도,고양일산서구,탄현동,,142-84,스타벅스 일산탄현동점,영업,202007,203001,179163.461148359,465891.700143354,37.6951899435,126.764587945
경기도,고양일산서구,탄현동,,1640,스타벅스 일산탄현제니스,영업,201401,203001,179005.665068939,465786.029740427,37.6952147328,126.7627841878
경기도,고양일산동구,풍동,,879-2,스타벅스 일산풍동DT점,영업,201712,203001,182357.27852801,462219.406430743,37.6622141824,126.8007409467
경기도,고양일산동구,중산동,,1836-3,스타벅스 일산하늘마을점,영업,202204,203001,180713.721983108,463928.821633406,37.6775602337,126.7821578142
경기도,고양일산서구,주엽동,,81,스타벅스 주엽강선점,영업,202006,203001,179290.502288104,462727.239411742,37.6661974836,126.7665181825
경기도,고양일산서구,주엽동,,18-2,스타벅스 주엽사거리점,폐업,200705,202005,178668.321119565,463267.005753621,37.6715583036,126.7589815191
경기도,고양덕양구,지축동,,0,스타벅스 지축역점,영업,202212,203001,948521.0879940246,1960996.8661291236,37.6497633645,126.9142855625
경기도,고양일산서구,대화동,,2602,스타벅스 현대킨텍스점,영업,202006,203001,178006.080301401,462865.812502378,37.6679786706,126.7516242854
경기도,고양덕양구,화정동,,973,스타벅스 화정역점,영업,201208,203001,185166.687145694,459037.825613683,37.6336291576,126.8327427261
