사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스 홍대동교점,영업,202303,202301,193414.6768,450675.0036
스타벅스 서울교대점,영업,201007,202301,201279.4432,442806.7092
스타벅스 반포자이점,영업,202201,202301,200800.417,444989.8743
스타벅스 대치한티점,영업,202101,202301,204537.4607,444036.1667
스타벅스 대치재경빌딩B1,영업,202012,202301,205464.7204,443592.9735
스타벅스 대치삼성프라자점,영업,202009,202301,205840.185,444245.655
스타벅스 방배로점,영업,201910,202301,199885.066,441910.0295
스타벅스 연합뉴스점,영업,201902,202301,198207.0,452455.8332
스타벅스 대치재경빌딩R,영업,201902,202301,205464.7204,443592.9735
스타벅스 종로평창동점,영업,201810,202301,197025.8499,455981.0128
스타벅스 방배다이치빌딩점,영업,201804,202301,199584.6665,442461.9578
스타벅스 서초역이화빌딩점,영업,201803,202301,200728.018,442900.2741
스타벅스 선릉동신빌딩R점,영업,201803,202301,204389.2637,444809.6501
스타벅스 센트럴F1점,영업,201803,202301,200250.4478,444683.2205
스타벅스 서울고속터미널점,영업,201703,202301,200554.744,444811.3648
스타벅스 대치은마사거리점,영업,201608,202301,205255.2667,444093.3688
스타벅스 서초법원점,영업,201605,202301,200973.9574,443398.8267
스타벅스 대치사거리점,영업,201605,202301,205136.9346,444576.067
스타벅스 동묘앞역점,영업,201604,202301,201350.4734,452279.7443
스타벅스 종로구청점,영업,201604,202301,198260.0632,452262.4846
스타벅스 방배카페거리,영업,201512,202301,198743.1328,443482.5886
스타벅스 방배점,영업,201512,202301,199099.266,443309.2397
스타벅스 북촌로점,영업,201410,202301,198734.7836,453017.3864
스타벅스 종로수송점,영업,201409,202301,198225.363,452155.1216
스타벅스 파미에파크R점,영업,201407,202301,200514.003,444644.7712
스타벅스 삼청동점,영업,201406,202301,198319.4076,453675.4071
스타벅스커피 교대역점,영업,201404,202301,201166.5875,443558.8013
스타벅스 내방역점,영업,201403,202301,199266.3723,443089.1634
스타벅스커피 서울아트센터점,영업,201403,202301,201023.3781,442054.4252
스타벅스커피 서초중앙로점,영업,201401,202301,200951.8767,444382.958
스타벅스 센트럴시티점,영업,201309,202301,200250.4478,444683.2205
