서울/경기,시/군/구,동,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
서울특별시,마포구,동교동,173-14,스타벅스 홍대동교점,영업,202303,203001,193414.6768,450675.0036
서울특별시,서초구,서초동,1623-1,스타벅스 서울교대점,영업,201007,203001,201279.4432,442806.7092
서울특별시,서초구,반포동,20-45,스타벅스 반포자이점,영업,202201,203001,200800.417,444989.8743
서울특별시,강남구,대치동,922-1,스타벅스 대치한티점,영업,202101,203001,204537.4607,444036.1667
서울특별시,강남구,대치동,599,스타벅스 대치재경빌딩B1,영업,202012,203001,205464.7204,443592.9735
서울특별시,강남구,대치동,993-1,스타벅스 대치삼성프라자점,영업,202009,203001,205840.185,444245.655
서울특별시,서초구,방배동,1022-5,스타벅스 방배로점,영업,201910,203001,199885.066,441910.0295
서울특별시,종로구,수송동,110,스타벅스 연합뉴스점,영업,201902,203001,198207.0,452455.8332
서울특별시,강남구,대치동,599,스타벅스 대치재경빌딩R,영업,201902,203001,205464.7204,443592.9735
서울특별시,종로구,평창동,182-11,스타벅스 종로평창동점,영업,201810,203001,197025.8499,455981.0128
서울특별시,서초구,방배동,907-1,스타벅스 방배다이치빌딩점,영업,201804,203001,199584.6665,442461.9578
서울특별시,서초구,서초동,1538-10,스타벅스 서초역이화빌딩점,영업,201803,203001,200728.018,442900.2741
서울특별시,강남구,삼성동,141-28,스타벅스 선릉동신빌딩R점,영업,201803,203001,204389.2637,444809.6501
서울특별시,서초구,반포동,19-3,스타벅스 센트럴F1점,영업,201803,203001,200250.4478,444683.2205
서울특별시,서초구,반포동,19-4,스타벅스 서울고속터미널점,영업,201703,203001,200554.744,444811.3648
서울특별시,강남구,대치동,941-19,스타벅스 대치은마사거리점,영업,201608,203001,205255.2667,444093.3688
서울특별시,서초구,서초동,1572-4,스타벅스 서초법원점,영업,201605,203001,200973.9574,443398.8267
서울특별시,강남구,대치동,960-5,스타벅스 대치사거리점,영업,201605,203001,205136.9346,444576.067
서울특별시,종로구,숭인동,310,스타벅스 동묘앞역점,영업,201604,203001,201350.4734,452279.7443
서울특별시,종로구,수송동,156,스타벅스 종로구청점,영업,201604,203001,198260.0632,452262.4846
서울특별시,서초구,방배동,777-11,스타벅스 방배카페거리,영업,201512,203001,198743.1328,443482.5886
서울특별시,서초구,방배동,812-2,스타벅스 방배점,영업,201512,203001,199099.266,443309.2397
서울특별시,종로구,계동,101-14,스타벅스 북촌로점,영업,201410,203001,198734.7836,453017.3864
서울특별시,종로구,청진동,19,스타벅스 종로수송점,영업,201409,203001,198225.363,452155.1216
서울특별시,서초구,반포동,118-3,스타벅스 파미에파크R점,영업,201407,203001,200514.003,444644.7712
서울특별시,종로구,삼청동,112,스타벅스 삼청동점,영업,201406,203001,198319.4076,453675.4071
서울특별시,서초구,서초동,1693-3,스타벅스커피 교대역점,영업,201404,203001,201166.5875,443558.8013
서울특별시,서초구,방배동,851-1,스타벅스 내방역점,영업,201403,203001,199266.3723,443089.1634
서울특별시,서초구,서초동,1464-22,스타벅스커피 서울아트센터점,영업,201403,203001,201023.3781,442054.4252
서울특별시,서초구,반포동,52-6,스타벅스커피 서초중앙로점,영업,201401,203001,200951.8767,444382.958
서울특별시,서초구,반포동,19-3,스타벅스 센트럴시티점,영업,201309,203001,200250.4478,444683.2205
서울특별시,종로구,관수동,3-5,스타벅스 종로관수점,영업,201212,203001,198930.0229,451940.7683
서울특별시,강남구,역삼동,697-45,스타벅스 선릉로점,영업,201211,203001,204061.415,444757.5319
서울특별시,서초구,서초동,1699-3,스타벅스커피 교대법원점,영업,201106,203001,201114.6618,443800.338
서울특별시,종로구,중학동,14,스타벅스 경복궁사거리점,영업,201104,203001,198176.1592,452574.6715
서울특별시,종로구,관철동,12-15,스타벅스 종로관철점,영업,201011,203001,198692.6279,451865.6943
서울특별시,종로구,종로3가,9-3,스타벅스 종로3가점,영업,201007,203001,199066.4682,452033.9927
서울특별시,서초구,서초동,1542-14,스타벅스 서초역점,영업,200903,203001,200692.6101,443164.7088
서울특별시,서초구,반포동,92-1,스타벅스 서래마을입구점,영업,200808,203001,199798.1944,444116.1676
서울특별시,서초구,서초동,1457-1,스타벅스 남부터미널2점,영업,200711,203001,201188.4012,442464.4743
서울특별시,강남구,대치동,994-10,스타벅스학여울역점,영업,200602,203001,205987.995,443983.0504
서울특별시,서초구,잠원동,58-24,스타벅스 반포역점,영업,200510,203001,201104.269,445266.6786
서울특별시,강남구,역삼동,708-6,스타벅스선릉역점,영업,200411,203001,204220.945,444637.798
서울특별시,서초구,방배동,908-10,스타벅스 방배역점,영업,200403,203001,199722.1617,442202.6141
서울특별시,서초구,서초동,1445-4,스타벅스 남부터미널점,영업,200402,203001,201430.9,442500.6304
서울특별시,서초구,서초동,1657-5,스타벅스 교대점,영업,200308,203001,201188.2459,443351.1208
서울특별시,강남구,대치동,988-17,스타벅스대치점,영업,200305,203001,205432.8994,444163.6021
서울특별시,서초구,잠원동,70-1,스타벅스 뉴코아강남점,영업,200112,203001,200538.8275,445335.6672
서울특별시,강남구,대치동,889-70,스타벅스 선릉 세화빌딩점,영업,200111,203001,204457.9654,444619.9308
서울특별시,서대문구,대신동,115,스타벅스 연대동문,영업,201111,203001,195188.2422,451572.5632
서울특별시,서대문구,창천동,33-9,스타벅스연대점,영업,201110,203001,194336.7271,450721.6418
서울특별시,서대문구,창천동,20-25,스타벅스 신촌아트레온점,영업,201106,203001,194649.344,450478.3522
서울특별시,서대문구,창천동,30-33,스타벅스 현대신촌점,영업,202102,203001,194265.0676,450433.691
서울특별시,서대문구,창천동,72-12,스타벅스 신촌역점,영업,201711,203001,194170.4082,450453.3605
서울특별시,서대문구,연희동,188-2,스타벅스 연희동점,영업,201702,203001,193795.6214,451616.2968
서울특별시,서대문구,신촌동,134,스타벅스커피 연세백양로점,영업,201510,203001,194584.9592,451381.5855
서울특별시,서대문구,연희동,87-7,스타벅스커피연희DT점,영업,201503,203001,194096.2291,451998.6006
서울특별시,서대문구,창천동,13-19,스타벅스 신촌명물거리점,영업,201011,203001,194463.7933,450617.148
서울특별시,서대문구,신촌동,134,스타벅스 연세종합관점,영업,200804,203001,194584.9592,451381.5855
서울특별시,서대문구,창천동,18-55,스타벅스 신촌점,영업,200201,203001,194375.0811,450469.8516
서울특별시,강동구,명일동,47-7,스타벅스 명일이마트점,영업,201404,203001,213715.028,450204.7403
서울특별시,강동구,천호동,453-14,스타벅스 천호로데오점,영업,201507,203001,211184.9085,448405.5485
서울특별시,마포구,노고산동,54-1,스타벅스커피 신촌오거리,영업,201605,203001,194160.0167,450323.8736
서울특별시,마포구,상수동,329-1,스타벅스커피(starbucks coffee)상수역점,영업,201506,203001,193144.6034,449475.0797
서울특별시,마포구,상수동,86-22,스타벅스홍대삼거리점,영업,201106,203001,193151.4158,449777.8753
서울특별시,마포구,창전동,130,스타벅스 서강광흥창역점,영업,201612,203001,193892.4029,449686.0294
서울특별시,강남구,역삼동,652-2,스타벅스 언주역점,영업,202211,203001,203160.1347,445064.0651
서울특별시,강서구,화곡동,1051-27,스타벅스 화곡역8번출구점,영업,202207,203001,185725.1614,448911.2648
서울특별시,중구,순화동,53,스타벅스 이마트타워점,영업,202304,203001,197503.1403,450941.0742
서울특별시,강서구,방화동,645-6,스타벅스 김포공항DT점,영업,202207,203001,182797.9967,451573.4457
서울특별시,동작구,흑석동,205-5,스타벅스중앙대점,영업,201610,203001,196227.8362,444972.8995
서울특별시,서대문구,북가좌동,309-16,스타벅스 북가좌DT점,영업,202201,203001,192114.5596,453146.8683
서울특별시,은평구,수색동,30-2,스타벅스 수색점,영업,202204,203001,191064.0196,453147.7077
서울특별시,도봉구,방학동,707-6,스타벅스 방학역점,영업,202204,203001,203783.2123,462550.4573
서울특별시,강남구,대치동,1024,스타벅스커피 한티역점,영업,201310,203001,204817.2461,443832.6351
서울특별시,서대문구,남가좌동,389,스타벅스 남가좌사거리점,영업,202006,203001,192777.1997,452775.827
서울특별시,강남구,신사동,592,스타벅스 압구정윤성빌딩점,영업,202005,203001,202456.485,446733.385
서울특별시,동작구,상도동,475-5,스타벅스커피숭실대입구역점,영업,201512,203001,195749.7708,443853.802
서울특별시,서대문구,남가좌동,385,스타벅스 가재울뉴타운점,영업,201906,203001,192672.0675,452221.9607
서울특별시,강서구,내발산동,719-6,스타벅스 우장산역점,영업,201806,203001,185431.0666,449714.8138
서울특별시,강남구,삼성동,114-9,스타벅스 봉은사로 선정릉점,영업,201802,203001,204212.7677,445457.6694
서울특별시,마포구,아현동,618-19,스타벅스마포경찰서후문,영업,201801,203001,195829.9552,449860.5754
서울특별시,마포구,동교동,166-1,스타벅스 홍대공항철도역점,영업,201710,203001,193316.9003,450586.8651
서울특별시,강남구,신사동,533-11,스타벅스 신사가로수점,영업,201612,203001,201918.7048,446631.3502
